code,name,date,fullName,avgYld,issueDate,maturity,coupon,payPerYr,compPerYr,durT,mdurT,convT
A00102,100央債甲2,20250522,100年度甲類第2期中央政府建設公債,1.553,20110113,20310113,2.125,1,1,5.3548,5.273,1762.7325
A00104,100央債甲4,20250606,100年度甲類第4期中央政府建設公債,1.635,20110222,20410222,2.0,1,1,13.6557,13.4361,11114.8592
A00107,100央債甲7,20250729,100年度甲類第7期中央政府建設公債,1.335,20110802,20310802,1.875,1,1,5.6495,5.5751,1993.8453
A00108,100央債甲8,20250623,100年度甲類第8期中央政府建設公債,1.6051,20110822,20410822,1.875,1,1,13.9589,13.7384,11667.0361
A00201,100央債乙1,20251110,100年度乙類第1期中央政府建設公債,1.36,20110526,20310526,1.75,1,1,5.2964,5.2279,1713.2863
A01102,101央債甲2,20241210,101年度甲類第2期中央政府建設公債,1.517,20120120,20320120,1.625,1,1,6.6883,6.5884,2645.7702
A01104,101央債甲4,20250623,101年度甲類第4期中央政府建設公債,1.6141,20120213,20420213,1.75,1,1,14.5502,14.3191,12183.1102
A01107,101央債甲7,20241212,101年度甲類第7期中央政府建設公債,1.57,20120810,20320810,1.5,1,1,7.2672,7.1549,3000.3923
A01108,101央債甲8,20250305,101年度甲類第8期中央政府建設公債,1.7055,20120824,20420824,1.625,1,1,15.2401,14.9845,12955.7429
A01201,101央債乙1,20230720,101年度乙類第1期中央政府建設公債,1.2,20120316,20320316,1.625,1,1,8.1203,8.0241,3902.0967
A02101,102央債甲1,20231113,102年度甲類第 1期中央政府建設公債,1.193,20130109,20280109,1.375,1,1,4.0265,3.9791,1025.7728
A02103,102央債甲3,20250821,102年度甲類第 3期中央政府建設公債,1.3885,20130128,20330128,1.5,1,1,7.0461,6.9496,2892.3254
A02105,102央債甲5,20250923,102年度甲類第 5期中央政府建設公債,1.4901,20130226,20430226,1.75,1,1,15.1083,14.8865,13525.8847
A02108,102央債甲8,20250314,102年度甲類第 8期中央政府建設公債,1.6355,20130726,20330726,2.0,1,1,7.7153,7.5912,3553.9595
A02109,102央債甲9,20251029,102年度甲類第 9期中央政府建設公債,1.3356,20130802,20430802,2.5,1,1,14.8095,14.6144,15073.3738
